outer_target_district,candidate_index,n_estimators,min_samples_leaf,max_depth,max_features,inner_lodo_mean_selected_nrmse
3,2,400,5,,sqrt,0.43374558484919595
3,3,300,10,,1.0,0.43380187638265744
3,1,300,2,,1.0,0.43750421625274855
4,3,300,10,,1.0,0.4530547908451324
4,2,400,5,,sqrt,0.45428421372978867
4,1,300,2,,1.0,0.4608493945627701
7,3,300,10,,1.0,0.4434053987942896
7,2,400,5,,sqrt,0.4457448663354619
7,1,300,2,,1.0,0.4486618711368964
11,2,400,5,,sqrt,0.4513138718284399
11,3,300,10,,1.0,0.4533099838692822
11,1,300,2,,1.0,0.4583533771115176
