district,selected_method,count,share
3,forward_fill,31,0.012404961984793917
3,nearest_boundary,9,0.003601440576230492
3,linear,559,0.22368947579031612
3,pchip,11,0.004401760704281713
3,local_natural_cubic_spline,0,0.0
3,polyfit_bic,581,0.23249299719887956
3,template,33,0.013205282112845138
3,seasonal_periodic,1275,0.5102040816326531
4,forward_fill,19,0.0076
4,nearest_boundary,2,0.0008
4,linear,619,0.2476
4,pchip,15,0.006
4,local_natural_cubic_spline,0,0.0
4,polyfit_bic,557,0.2228
4,template,43,0.0172
4,seasonal_periodic,1245,0.498
7,forward_fill,16,0.0064
7,nearest_boundary,1,0.0004
7,linear,644,0.2576
7,pchip,10,0.004
7,local_natural_cubic_spline,0,0.0
7,polyfit_bic,540,0.216
7,template,14,0.0056
7,seasonal_periodic,1275,0.51
11,forward_fill,25,0.010008006405124099
11,nearest_boundary,5,0.0020016012810248197
11,linear,600,0.2401921537229784
11,pchip,15,0.00600480384307446
11,local_natural_cubic_spline,0,0.0
11,polyfit_bic,553,0.22137710168134508
11,template,18,0.007205764611689352
11,seasonal_periodic,1282,0.5132105684547638
