outer_target_station,candidate_index,n_estimators,min_samples_leaf,max_depth,max_features,inner_loso_mean_selected_nrmse
00232,1,300,2,,1.0,0.6187394745066358
00232,3,300,10,,1.0,0.6196482415488992
00232,2,400,5,,sqrt,0.6213649987112714
00427,1,300,2,,1.0,0.6183480124102704
00427,3,300,10,,1.0,0.6188577714015352
00427,2,400,5,,sqrt,0.6202126319778998
01048,1,300,2,,1.0,0.6186229206286794
01048,3,300,10,,1.0,0.6190291799245444
01048,2,400,5,,sqrt,0.619992756975631
01346,3,300,10,,1.0,0.6203527612445302
01346,1,300,2,,1.0,0.6227344090973156
01346,2,400,5,,sqrt,0.6230541590826789
01420,3,300,10,,1.0,0.6201872582240654
01420,1,300,2,,1.0,0.6203162450753898
01420,2,400,5,,sqrt,0.6208823396763029
01443,1,300,2,,1.0,0.6183807908740042
01443,3,300,10,,1.0,0.6199675552202599
01443,2,400,5,,sqrt,0.6224404566340236
01550,2,400,5,,sqrt,0.6195289187990473
01550,1,300,2,,1.0,0.6195375662861902
01550,3,300,10,,1.0,0.6196254387562327
01691,3,300,10,,1.0,0.6192555817682853
01691,2,400,5,,sqrt,0.6200144837161774
01691,1,300,2,,1.0,0.6201950620585681
01975,3,300,10,,1.0,0.6157097620704673
01975,1,300,2,,1.0,0.6161445977646025
01975,2,400,5,,sqrt,0.6178729139318216
02014,3,300,10,,1.0,0.6188066440218467
02014,1,300,2,,1.0,0.6191201465133608
02014,2,400,5,,sqrt,0.6205505730748051
02667,1,300,2,,1.0,0.6158411691737248
02667,3,300,10,,1.0,0.6164979508333877
02667,2,400,5,,sqrt,0.6180264546675508
03032,3,300,10,,1.0,0.6126019773895279
03032,1,300,2,,1.0,0.612876199036246
03032,2,400,5,,sqrt,0.6144571024969838
03668,1,300,2,,1.0,0.6188776014476594
03668,3,300,10,,1.0,0.6190914243595305
03668,2,400,5,,sqrt,0.6191917279053907
04104,1,300,2,,1.0,0.6185769094271062
04104,3,300,10,,1.0,0.6203024509162991
04104,2,400,5,,sqrt,0.6212284212888348
04271,1,300,2,,1.0,0.6147738588277077
04271,3,300,10,,1.0,0.6149405446510342
04271,2,400,5,,sqrt,0.6153402750458375
05792,1,300,2,,1.0,0.6186238971828405
05792,3,300,10,,1.0,0.618952270373221
05792,2,400,5,,sqrt,0.6208317318306306
