station_id,selected_method,count,share
00232,forward_fill,0,0.0
00232,nearest_boundary,0,0.0
00232,linear,93,0.17953667953667954
00232,pchip,177,0.3416988416988417
00232,local_natural_cubic_spline,19,0.03667953667953668
00232,polyfit_bic,72,0.138996138996139
00232,template,21,0.04054054054054054
00232,seasonal_periodic,136,0.2625482625482625
00427,forward_fill,0,0.0
00427,nearest_boundary,0,0.0
00427,linear,110,0.21235521235521235
00427,pchip,180,0.3474903474903475
00427,local_natural_cubic_spline,14,0.02702702702702703
00427,polyfit_bic,56,0.10810810810810811
00427,template,36,0.0694980694980695
00427,seasonal_periodic,122,0.23552123552123552
01048,forward_fill,0,0.0
01048,nearest_boundary,1,0.0019267822736030828
01048,linear,121,0.23314065510597304
01048,pchip,173,0.3333333333333333
01048,local_natural_cubic_spline,17,0.03275529865125241
01048,polyfit_bic,59,0.11368015414258188
01048,template,39,0.07514450867052024
01048,seasonal_periodic,109,0.21001926782273603
01346,forward_fill,0,0.0
01346,nearest_boundary,0,0.0
01346,linear,211,0.4081237911025145
01346,pchip,222,0.42940038684719534
01346,local_natural_cubic_spline,5,0.009671179883945842
01346,polyfit_bic,35,0.06769825918762089
01346,template,25,0.048355899419729204
01346,seasonal_periodic,19,0.0367504835589942
01420,forward_fill,0,0.0
01420,nearest_boundary,0,0.0
01420,linear,91,0.177734375
01420,pchip,181,0.353515625
01420,local_natural_cubic_spline,8,0.015625
01420,polyfit_bic,78,0.15234375
01420,template,28,0.0546875
01420,seasonal_periodic,126,0.24609375
01443,forward_fill,0,0.0
01443,nearest_boundary,0,0.0
01443,linear,84,0.16247582205029013
01443,pchip,176,0.3404255319148936
01443,local_natural_cubic_spline,18,0.03481624758220503
01443,polyfit_bic,63,0.1218568665377176
01443,template,31,0.059961315280464215
01443,seasonal_periodic,145,0.2804642166344294
01550,forward_fill,0,0.0
01550,nearest_boundary,0,0.0
01550,linear,110,0.21442495126705652
01550,pchip,190,0.37037037037037035
01550,local_natural_cubic_spline,3,0.005847953216374269
01550,polyfit_bic,70,0.1364522417153996
01550,template,23,0.04483430799220273
01550,seasonal_periodic,117,0.22807017543859648
01691,forward_fill,0,0.0
01691,nearest_boundary,0,0.0
01691,linear,122,0.23689320388349513
01691,pchip,190,0.36893203883495146
01691,local_natural_cubic_spline,4,0.007766990291262136
01691,polyfit_bic,66,0.12815533980582525
01691,template,29,0.05631067961165048
01691,seasonal_periodic,104,0.20194174757281552
01975,forward_fill,0,0.0
01975,nearest_boundary,0,0.0
01975,linear,110,0.2131782945736434
01975,pchip,191,0.3701550387596899
01975,local_natural_cubic_spline,10,0.01937984496124031
01975,polyfit_bic,58,0.1124031007751938
01975,template,30,0.05813953488372093
01975,seasonal_periodic,117,0.22674418604651161
02014,forward_fill,0,0.0
02014,nearest_boundary,0,0.0
02014,linear,123,0.2379110251450677
02014,pchip,188,0.36363636363636365
02014,local_natural_cubic_spline,11,0.02127659574468085
02014,polyfit_bic,59,0.11411992263056092
02014,template,30,0.058027079303675046
02014,seasonal_periodic,106,0.20502901353965183
02667,forward_fill,2,0.003875968992248062
02667,nearest_boundary,0,0.0
02667,linear,110,0.2131782945736434
02667,pchip,162,0.313953488372093
02667,local_natural_cubic_spline,17,0.03294573643410853
02667,polyfit_bic,65,0.12596899224806202
02667,template,42,0.08139534883720931
02667,seasonal_periodic,118,0.22868217054263565
03032,forward_fill,0,0.0
03032,nearest_boundary,0,0.0
03032,linear,102,0.19960861056751467
03032,pchip,198,0.38747553816046965
03032,local_natural_cubic_spline,3,0.005870841487279843
03032,polyfit_bic,73,0.14285714285714285
03032,template,26,0.050880626223091974
03032,seasonal_periodic,109,0.21330724070450097
03668,forward_fill,0,0.0
03668,nearest_boundary,1,0.0019455252918287938
03668,linear,101,0.19649805447470817
03668,pchip,160,0.311284046692607
03668,local_natural_cubic_spline,18,0.03501945525291829
03668,polyfit_bic,61,0.11867704280155641
03668,template,38,0.07392996108949416
03668,seasonal_periodic,135,0.26264591439688717
04104,forward_fill,1,0.0019305019305019305
04104,nearest_boundary,0,0.0
04104,linear,103,0.19884169884169883
04104,pchip,171,0.3301158301158301
04104,local_natural_cubic_spline,19,0.03667953667953668
04104,polyfit_bic,61,0.11776061776061776
04104,template,29,0.055984555984555984
04104,seasonal_periodic,134,0.25868725868725867
04271,forward_fill,0,0.0
04271,nearest_boundary,0,0.0
04271,linear,149,0.2876447876447876
04271,pchip,169,0.32625482625482627
04271,local_natural_cubic_spline,18,0.03474903474903475
04271,polyfit_bic,71,0.13706563706563707
04271,template,33,0.0637065637065637
04271,seasonal_periodic,78,0.15057915057915058
05792,forward_fill,0,0.0
05792,nearest_boundary,1,0.001949317738791423
05792,linear,190,0.37037037037037035
05792,pchip,201,0.391812865497076
05792,local_natural_cubic_spline,15,0.029239766081871343
05792,polyfit_bic,47,0.09161793372319688
05792,template,23,0.04483430799220273
05792,seasonal_periodic,36,0.07017543859649122
